,restaurant,item,ms_item,matched_2021,new_item_2022,menu_item_id,food_category,item_description,serving_size,serving_size_text,serving_size_unit,serving_size_household,calories,total_fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,dietary_fiber,sugar,protein,potassium,notes,calories_text,total_fat_text,saturated_fat_text,trans_fat_text,cholesterol_text,sodium_text,carbohydrates_text,dietary_fiber_text,sugar_text,protein_text,bestseller
68,arbys,Honest Kids Organic Apple Juice Drink ,Honest Kids Apple Juice Drink,0,1,951635,Beverages,"Honest Kids Apple Juice Drink, Kids Meals, Beverages",18.0,,fl oz,,240,0.0,0.0,0.0,0.0,60,61.0,0.0,61.0,0.0,,,,,,,,,,,,,0
69,arbys,Shamrock Farms Low Fat Milk,Shamrock Farms Lowfat White Milk,1,0,10417,Beverages,"Shamrock Farms Lowfat White Milk, Kids Meals, Beverages",468.0,,g,,310,0.0,0.0,0.0,0.0,20,81.0,0.0,77.0,0.0,,,,,,,,,,,,,0
70,arbys,Shamrock Farms LowFat Chocolate Milk,Shamrock Farms Lowfat Chocolate Milk,1,0,10412,Beverages,"Shamrock Farms Lowfat Chocolate Milk, Kids Meals, Beverages",213.0,,g,,150,0.0,0.0,0.0,0.0,10,38.0,0.0,35.0,0.0,,,,,,,,,,,,,0
71,arbys,Tree Top Applesauce,Tree Top Applesauce,1,0,150106,Appetizers & Sides,"Tree Top Applesauce, Kids Meals",301.0,,g,,630,32.0,11.0,1.5,100.0,2100,48.0,2.0,9.0,39.0,,,,,,,,,,,,,0
72,arbys,Chicken Slider Kids Meal,Chicken Slider,1,0,943956,Sandwiches,"Chicken Slider, Sliders",129.0,,g,,370,18.0,3.0,0.0,60.0,1190,28.0,2.0,0.0,23.0,,,,,,,,,,,,,0
73,arbys,Roast Beef Slider Kids Meal,Roast Beef Slider,1,0,943958,Sandwiches,"Roast Beef Slider, Sliders",215.0,,g,,610,30.0,4.5,0.0,100.0,1990,47.0,3.0,0.0,39.0,,,,,,,,,,,,,0
74,arbys,Premium 6PC Chicken Nuggets Kids Meal,Premium Nuggets (9),0,1,951592,Entrees,"Premium Nuggets (9), Crispy Juicy Chicken",128.0,,g,,390,13.0,6.0,0.0,0.0,200,65.0,2.0,40.0,4.0,,,,,,,,,,,,,0
75,burger_king,Whopper,Whopper,1,0,944749,Burgers,"Whopper, Flame Grilled Burgers",,,,,660,40.0,12.0,1.0,90.0,980,49.0,2.0,11.0,28.0,,,,,,,,,,,,,1
76,burger_king,Whopper – Meal,Triple Whopper w/ Cheese,1,0,926485,Burgers,"Triple Whopper w/ Cheese, Flame Grilled Burgers",,,,,1300,89.0,36.0,1.5,300.0,1830,52.0,2.0,12.0,76.0,,,,,,,,,,,,,0
77,burger_king,Double Whopper,Double Whopper,0,1,951987,Burgers,"Double Whopper, Flame Grilled Burgers",,,,,900,58.0,20.0,1.0,175.0,1050,49.0,2.0,11.0,48.0,,,,,,,,,,,,,0
78,burger_king,Double Whopper – Meal,Double Whopper,0,1,951987,Burgers,"Double Whopper, Flame Grilled Burgers",,,,,900,58.0,20.0,1.0,175.0,1050,49.0,2.0,11.0,48.0,,,,,,,,,,,,,0
